22:29:28 INFO database.client - Supabase client initialised (service key)
22:29:31 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/futures_continuous_series?select=%2A&symbol=eq.BAJAJ-AUTO&date=eq.2026-05-27 "HTTP/2 200 OK"
22:29:31 INFO httpx - HTTP Request: PATCH https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/futures_continuous_series?symbol=eq.BAJAJ-AUTO&date=eq.2026-05-27 "HTTP/2 200 OK"
22:29:31 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/options_snapshots?select=%2A&symbol=eq.BAJAJ-AUTO&snapshot_date=eq.2026-05-27&order=expiry_date.asc%2Cstrike.asc "HTTP/2 200 OK"
22:29:31 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/continuous_oi_series?select=%2A&symbol=eq.BAJAJ-AUTO&order=date.desc&limit=2 "HTTP/2 200 OK"
22:29:31 INFO httpx - HTTP Request: POST https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/continuous_oi_series?on_conflict=symbol%2Cdate "HTTP/2 200 OK"
22:29:31 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/price_history?select=date%2Copen%2Chigh%2Clow%2Cclose%2Cvolume&symbol=eq.BAJAJFINSV&order=date.desc&limit=5 "HTTP/2 200 OK"
22:29:31 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/futures_continuous_series?select=%2A&symbol=eq.BAJAJFINSV&date=eq.2026-05-27 "HTTP/2 200 OK"
22:29:31 INFO httpx - HTTP Request: PATCH https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/futures_continuous_series?symbol=eq.BAJAJFINSV&date=eq.2026-05-27 "HTTP/2 200 OK"
22:29:31 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/options_snapshots?select=%2A&symbol=eq.BAJAJFINSV&snapshot_date=eq.2026-05-27&order=expiry_date.asc%2Cstrike.asc "HTTP/2 200 OK"
22:29:31 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/continuous_oi_series?select=%2A&symbol=eq.BAJAJFINSV&order=date.desc&limit=2 "HTTP/2 200 OK"
22:29:32 INFO httpx - HTTP Request: POST https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/continuous_oi_series?on_conflict=symbol%2Cdate "HTTP/2 200 OK"
22:29:32 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/price_history?select=date%2Copen%2Chigh%2Clow%2Cclose%2Cvolume&symbol=eq.BAJFINANCE&order=date.desc&limit=5 "HTTP/2 200 OK"
22:29:32 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/futures_continuous_series?select=%2A&symbol=eq.BAJFINANCE&date=eq.2026-05-27 "HTTP/2 200 OK"
22:29:32 INFO httpx - HTTP Request: PATCH https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/futures_continuous_series?symbol=eq.BAJFINANCE&date=eq.2026-05-27 "HTTP/2 200 OK"
22:29:32 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/options_snapshots?select=%2A&symbol=eq.BAJFINANCE&snapshot_date=eq.2026-05-27&order=expiry_date.asc%2Cstrike.asc "HTTP/2 200 OK"
22:29:32 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/continuous_oi_series?select=%2A&symbol=eq.BAJFINANCE&order=date.desc&limit=2 "HTTP/2 200 OK"
22:29:32 INFO httpx - HTTP Request: POST https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/continuous_oi_series?on_conflict=symbol%2Cdate "HTTP/2 200 OK"
22:29:32 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/price_history?select=date%2Copen%2Chigh%2Clow%2Cclose%2Cvolume&symbol=eq.BEL&order=date.desc&limit=5 "HTTP/2 200 OK"
22:29:32 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/futures_continuous_series?select=%2A&symbol=eq.BEL&date=eq.2026-05-27 "HTTP/2 200 OK"
22:29:32 INFO httpx - HTTP Request: PATCH https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/futures_continuous_series?symbol=eq.BEL&date=eq.2026-05-27 "HTTP/2 200 OK"
22:29:32 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/options_snapshots?select=%2A&symbol=eq.BEL&snapshot_date=eq.2026-05-27&order=expiry_date.asc%2Cstrike.asc "HTTP/2 200 OK"
22:29:32 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/continuous_oi_series?select=%2A&symbol=eq.BEL&order=date.desc&limit=2 "HTTP/2 200 OK"
22:29:32 INFO httpx - HTTP Request: POST https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/continuous_oi_series?on_conflict=symbol%2Cdate "HTTP/2 200 OK"
22:29:32 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/price_history?select=date%2Copen%2Chigh%2Clow%2Cclose%2Cvolume&symbol=eq.BHARTIARTL&order=date.desc&limit=5 "HTTP/2 200 OK"
22:29:32 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/futures_continuous_series?select=%2A&symbol=eq.BHARTIARTL&date=eq.2026-05-27 "HTTP/2 200 OK"
22:29:32 INFO httpx - HTTP Request: PATCH https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/futures_continuous_series?symbol=eq.BHARTIARTL&date=eq.2026-05-27 "HTTP/2 200 OK"
22:29:32 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/options_snapshots?select=%2A&symbol=eq.BHARTIARTL&snapshot_date=eq.2026-05-27&order=expiry_date.asc%2Cstrike.asc "HTTP/2 200 OK"
22:29:32 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/continuous_oi_series?select=%2A&symbol=eq.BHARTIARTL&order=date.desc&limit=2 "HTTP/2 200 OK"
22:29:32 INFO httpx - HTTP Request: POST https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/continuous_oi_series?on_conflict=symbol%2Cdate "HTTP/2 200 OK"
22:29:32 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/price_history?select=date%2Copen%2Chigh%2Clow%2Cclose%2Cvolume&symbol=eq.CIPLA&order=date.desc&limit=5 "HTTP/2 200 OK"
